City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
137,port macquarie,0,AU,1536566400,67,-31.43,152.91,60.8,6.93
138,ponta do sol,0,BR,1536570363,80,-20.63,-46.0,49.81,2.82
139,east london,0,ZA,1536566400,36,-33.02,27.91,64.4,4.7
140,katsuura,75,JP,1536566400,94,33.93,134.5,69.8,3.36
141,bambous virieux,40,MU,1536566400,47,-20.34,57.76,78.8,18.34
142,ancud,88,CL,1536570365,85,-41.87,-73.83,37.3,2.59
143,saskylakh,32,RU,1536570365,76,71.97,114.09,38.56,4.61
144,flinders,0,AU,1536566400,82,-34.58,150.85,57.2,5.82
145,sarandi,0,BR,1536570366,77,-27.94,-52.92,56.74,15.35
146,pochutla,8,MX,1536570366,100,15.74,-96.47,81.4,2.93
147,torrington,1,US,1536569580,89,42.06,-104.18,55.94,4.7
148,cape town,0,ZA,1536566400,51,-33.93,18.42,62.6,6.93
149,ostrovnoy,12,RU,1536570367,82,68.05,39.51,56.2,10.98
150,burnie,44,AU,1536570368,93,-41.05,145.91,55.12,14.0
151,sola,75,NO,1536569400,76,58.89,5.65,57.2,13.87
152,rasht,40,IR,1536568200,65,37.28,49.58,82.4,4.7
153,emborion,0,GR,1536565800,46,40.48,21.55,69.8,5.82
154,lagoa,0,PT,1536568200,57,37.14,-8.45,77.0,9.17
155,lompoc,90,US,1536568680,96,34.64,-120.46,57.02,5.82
156,torbay,40,CA,1536566400,87,47.66,-52.73,48.2,3.36
157,sinnamary,64,GF,1536570370,100,5.38,-52.96,80.68,6.73
158,kitangari,20,TZ,1536570370,76,-10.65,39.33,80.32,8.75
159,gold coast,0,AU,1536568200,67,-28.0,153.41,62.6,6.93
160,huarmey,12,PE,1536570371,82,-10.07,-78.15,48.55,2.37
161,victoria,75,BN,1536568200,83,5.28,115.24,86.0,4.7
162,chuy,68,UY,1536570372,89,-33.69,-53.46,54.85,11.65
163,meulaboh,92,ID,1536570373,100,4.14,96.13,80.41,2.04
164,rohnert park,1,US,1536568500,100,38.34,-122.7,64.94,1.92
165,honiara,40,SB,1536566400,100,-9.43,159.96,77.0,2.24
166,hay river,40,CA,1536566400,71,60.82,-115.79,35.6,6.93
167,petropavlovsk-kamchatskiy,0,RU,1536566400,54,53.05,158.65,55.4,8.95
168,shubarshi,0,KZ,1536570375,26,48.59,57.19,79.6,4.72
169,codrington,0,AU,1536570376,74,-28.95,153.24,58.27,4.94
